Defect ID,Severity,Priority,Description,Comments,Status,Reported Date,Closed Date,Root Cause,Reopen Count,Module Name,Assigned To,Created By
D0015,High,P4,Memory leak in session handling of UPI requests.,Sapiente aspernatur expedita officiis sequi vero voluptatibus.,In Progress,2023-08-01,2023-08-06,Memory Leak,2,Authentication Gateway,Divyansh Dubey,Lakshit Walla
D0016,Medium,P2,Date parsing issue causes crash in EMI module.,Expedita quo deserunt facere aut ab debitis.,Closed,2025-01-02,2025-01-04,Bad Request Handling,2,Loan Processing,Navya Dhaliwal,Vidur Sura
D0017,High,P4,API throws 400 for valid request payload due to schema mismatch.,Fuga hic saepe cupiditate at dignissimos.,Closed,2023-12-16,2023-12-17,API Timeout,0,Loan Processing,Zain Tak,Manjari Tailor
D0018,High,P3,Incorrect balance calculation after mini-statement fetch.,Omnis architecto possimus.,In Progress,2024-12-27,2025-01-30,Incorrect Business Logic,0,Bill Payments,Mannat Sharma,Tiya Bir
D0019,Critical,P3,Concurrency issue during interest computation.,Totam quos quaerat assumenda qui iure.,Closed,2024-06-13,2024-06-15,Memory Leak,3,Bill Payments,Zain Tak,Tiya Grover
D0020,Critical,P2,Concurrency issue during interest computation.,Consequatur molestias fugit voluptatum pariatur cumque.,Closed,2023-08-17,2023-08-18,Race Condition,3,Account Ledger,Nehmat Ram,Tiya Bir
D0021,High,P1,Timeout during KYC check API call.,A quos molestiae ex molestiae.,Closed,2023-11-06,2023-11-07,Null Pointer,1,Authentication Gateway,Hrishita Dar,Alisha Batra
D0022,High,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Ad eligendi magnam.,Closed,2024-03-10,2024-03-12,Bad Request Handling,3,Bill Payments,Mannat Sharma,Vidur Sura
D0023,Critical,P3,Amount field not formatted correctly in transaction history export.,Consequuntur fuga aperiam corrupti et sunt.,Closed,2023-08-04,2023-08-05,API Timeout,3,Transaction History,Hridaan Guha,Tushar Khare
D0024,Low,P3,Incorrect balance calculation after mini-statement fetch.,Culpa sit possimus delectus maiores.,Closed,2024-05-25,2024-05-27,Incorrect Business Logic,0,Loan Processing,Yasmin Chhabra,Heer Dass
D0025,Medium,P2,API throws 400 for valid request payload due to schema mismatch.,Quasi dolores delectus numquam sunt pariatur.,Closed,2024-03-06,2024-03-08,Memory Leak,0,Transaction History,Aaryahi Som,Tiya Bir
D0026,High,P2,API throws 400 for valid request payload due to schema mismatch.,Debitis voluptates dolore.,In Progress,2025-04-04,2025-05-20,Incorrect Business Logic,3,Bill Payments,Elakshi Luthra,Farhan Mahajan
D0027,Low,P4,Concurrency issue during interest computation.,Cupiditate esse repellendus aliquid dolor.,Closed,2025-01-04,2025-01-06,Bad Request Handling,2,Account Ledger,Tarini Dass,Tiya Grover
D0028,Critical,P4,NullPointerException when calling balance check endpoint.,Fuga molestiae eveniet explicabo molestias.,Closed,2024-10-11,2024-10-13,API Timeout,0,Bill Payments,Nirvaan Lad,Samarth Sanghvi
D0029,Medium,P1,NullPointerException when calling balance check endpoint.,Voluptatem eaque laboriosam itaque nemo.,Closed,2024-04-22,2024-04-23,Memory Leak,0,Bill Payments,Dishani Rajagopalan,Lakshit Walla
D0030,Critical,P2,Memory leak in session handling of UPI requests.,Fuga maxime accusantium soluta aut.,Closed,2025-03-06,2025-03-07,Memory Leak,0,UPI Service,Aaina Goel,Vivaan Kumer
D0031,High,P2,API throws 400 for valid request payload due to schema mismatch.,Quis beatae maxime repellendus quam.,Closed,2024-04-20,2024-04-21,API Timeout,2,Account Ledger,Indrans Chadha,Ritvik Raju
D0032,Low,P4,NullPointerException when calling balance check endpoint.,Exercitationem nam asperiores.,Closed,2025-03-27,2025-03-29,Memory Leak,2,Authentication Gateway,Elakshi Shukla,Kartik Barman
D0033,High,P2,Date parsing issue causes crash in EMI module.,Asperiores laborum unde ullam.,Closed,2024-02-22,2024-02-23,Race Condition,3,Loan Processing,Krish Solanki,Lavanya Hans
D0034,High,P3,Amount field not formatted correctly in transaction history export.,Totam delectus totam non cumque libero saepe.,Closed,2024-12-07,2024-12-08,Memory Leak,1,Bill Payments,Elakshi Luthra,Vidur Sura
D0035,Critical,P4,Incorrect balance calculation after mini-statement fetch.,Aliquid eligendi dicta.,Open,2025-01-31,2025-03-01,API Timeout,3,Bill Payments,Farhan Ganguly,Tushar Subramaniam
D0036,Low,P4,Memory leak in session handling of UPI requests.,Quas iste ipsam nemo dignissimos aperiam.,In Progress,2024-09-30,2024-11-05,Race Condition,1,Bill Payments,Indrans Chadha,Heer Dass
D0037,Low,P1,Amount field not formatted correctly in transaction history export.,Ab error cum autem labore ullam.,Closed,2024-02-07,2024-02-08,Null Pointer,0,Bill Payments,Aaryahi Som,Lakshit Walla
D0038,Critical,P4,Array index out of bounds in bill payment validation flow.,Ut facere omnis dolorem commodi temporibus sunt.,Closed,2024-02-11,2024-02-13,API Timeout,3,UPI Service,Nirvaan Lad,Samarth Sanghvi
D0039,Medium,P1,NullPointerException when calling balance check endpoint.,Similique placeat officia reprehenderit.,Closed,2024-07-06,2024-07-08,Memory Leak,3,Account Ledger,Elakshi Luthra,Jayant Choudhury
D0040,High,P1,API throws 400 for valid request payload due to schema mismatch.,Fugiat quasi ab perspiciatis.,Closed,2023-07-06,2023-07-07,Bad Request Handling,1,Loan Processing,Emir Ramesh,Jayant Choudhury
D0041,Critical,P3,Array index out of bounds in bill payment validation flow.,Voluptate odio tempora sint temporibus.,Closed,2024-04-07,2024-04-08,Memory Leak,2,Authentication Gateway,Hridaan Guha,Anya Dixit
D0042,Critical,P4,Date parsing issue causes crash in EMI module.,Voluptatem molestias numquam libero alias possimus.,Closed,2023-09-25,2023-09-26,Bad Request Handling,3,Transaction History,Lagan Rattan,Farhan Mahajan
D0043,High,P1,NullPointerException when calling balance check endpoint.,Placeat debitis officia nam itaque dolore.,Closed,2024-12-10,2024-12-11,Race Condition,1,Bill Payments,Lagan Rattan,Heer Bhat
D0044,Low,P1,NullPointerException when calling balance check endpoint.,Et harum ducimus quo aspernatur minus veniam.,Closed,2025-04-02,2025-04-03,API Timeout,2,Account Ledger,Krish Solanki,Ivan Gandhi
D0045,Critical,P3,Date parsing issue causes crash in EMI module.,Corrupti eius voluptate quas illo fugiat.,Closed,2024-04-12,2024-04-13,Memory Leak,2,UPI Service,Nehmat Ram,Tushar Subramaniam
D0046,High,P4,Date parsing issue causes crash in EMI module.,Voluptate pariatur blanditiis labore.,Closed,2024-07-11,2024-07-12,Race Condition,3,Bill Payments,Tarini Dass,Dharmajan Yogi
D0047,Critical,P4,Amount field not formatted correctly in transaction history export.,Eos tenetur delectus sequi voluptates.,Open,2024-09-04,2024-09-15,Bad Request Handling,0,Loan Processing,Lagan Rattan,Manjari Kala
D0048,Low,P2,Incorrect balance calculation after mini-statement fetch.,Recusandae ipsum odio nihil unde.,In Progress,2024-05-27,2024-07-13,API Timeout,2,Transaction History,Aaina Goel,Vivaan Kumer
D0049,Critical,P2,Memory leak in session handling of UPI requests.,Officiis accusantium voluptate fugiat hic.,Closed,2024-12-16,2024-12-17,Bad Request Handling,0,Loan Processing,Navya Dhaliwal,Manjari Tailor
D0050,Low,P2,Array index out of bounds in bill payment validation flow.,Magni porro numquam dolorem dicta.,Closed,2024-04-29,2024-04-30,Incorrect Business Logic,0,Bill Payments,Kaira Sharma,Farhan Mahajan
D0051,High,P4,API throws 400 for valid request payload due to schema mismatch.,Iure ea eos consequuntur consequuntur error quasi adipisci.,Closed,2025-04-26,2025-04-28,Bad Request Handling,2,Authentication Gateway,Elakshi Luthra,Dharmajan Yogi
D0052,Low,P1,NullPointerException when calling balance check endpoint.,Fugit ipsam harum voluptas delectus.,Closed,2024-11-24,2024-11-26,Null Pointer,0,Authentication Gateway,Zain Tak,Tushar Khare
D0053,Low,P1,API throws 400 for valid request payload due to schema mismatch.,Exercitationem velit mollitia totam.,In Progress,2024-06-28,2024-07-10,Memory Leak,3,Authentication Gateway,Yasmin Chhabra,Heer Dass
D0054,Medium,P1,Array index out of bounds in bill payment validation flow.,Illo assumenda sapiente quae.,In Progress,2024-10-19,2024-11-03,Incorrect Business Logic,1,UPI Service,Krish Solanki,Farhan Mahajan
D0055,Critical,P3,NullPointerException when calling balance check endpoint.,Laborum iure doloribus.,Closed,2025-05-11,2025-05-12,Bad Request Handling,3,UPI Service,Hrishita Dar,Tiya Grover
D0056,Low,P1,Date parsing issue causes crash in EMI module.,Provident natus ducimus laboriosam tempora omnis.,Closed,2023-07-26,2023-07-28,Bad Request Handling,1,Bill Payments,Ivan Kakar,Samarth Sanghvi
D0057,High,P1,NullPointerException when calling balance check endpoint.,Minus mollitia illo unde nulla.,Open,2023-08-09,2023-09-11,Bad Request Handling,0,Authentication Gateway,Yasmin Chhabra,Vidur Sura
D0058,High,P4,Concurrency issue during interest computation.,Voluptatibus dolore expedita laborum soluta ipsum.,Closed,2024-11-13,2024-11-15,Memory Leak,1,Bill Payments,Ivan Kakar,Shayak Hegde
D0059,High,P2,Incorrect balance calculation after mini-statement fetch.,Molestiae ex dolorem maxime laudantium dignissimos.,Closed,2023-12-25,2023-12-27,Bad Request Handling,0,UPI Service,Mannat Sharma,Vidur Sura
D0060,High,P3,API throws 400 for valid request payload due to schema mismatch.,Corrupti ratione architecto.,Closed,2024-12-01,2024-12-02,Null Pointer,1,Transaction History,Hridaan Guha,Bhamini Kakar
D0061,Low,P3,NullPointerException when calling balance check endpoint.,Eum delectus similique molestiae.,Closed,2025-03-06,2025-03-07,Incorrect Business Logic,1,UPI Service,Tarini Mann,Samarth Sanghvi
D0062,Medium,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Tempora maxime non sed rerum eligendi nulla soluta.,Closed,2024-04-25,2024-04-27,Bad Request Handling,1,Loan Processing,Hridaan Guha,Anya Dixit
D0063,Medium,P1,Array index out of bounds in bill payment validation flow.,Expedita cumque et quod ullam.,Closed,2024-08-26,2024-08-28,Race Condition,1,Bill Payments,Ivan Kakar,Nirvaan Bhalla
D0064,High,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Vitae provident ullam quae exercitationem cumque error.,Closed,2025-03-25,2025-03-26,Incorrect Business Logic,3,Bill Payments,Krish Solanki,Jayant Choudhury
D0065,Low,P4,Array index out of bounds in bill payment validation flow.,Quis harum necessitatibus soluta similique alias.,Closed,2024-10-19,2024-10-21,Bad Request Handling,3,UPI Service,Hrishita Dar,Tushar Khare
D0066,High,P3,NullPointerException when calling balance check endpoint.,Accusantium dolores quis molestiae blanditiis dolores totam.,Closed,2023-07-26,2023-07-28,API Timeout,1,Transaction History,Divit Upadhyay,Heer Dass
D0067,High,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Ducimus quae laudantium veniam excepturi harum dignissimos nesciunt.,Closed,2024-05-03,2024-05-05,Bad Request Handling,0,Transaction History,Elakshi Luthra,Ritvik Raju
D0068,Medium,P4,Concurrency issue during interest computation.,Dolorum sed error id nam magnam.,Closed,2023-11-20,2023-11-21,Incorrect Business Logic,1,Loan Processing,Dishani Rajagopalan,Ivan Gandhi
D0069,Critical,P1,NullPointerException when calling balance check endpoint.,Eos natus ullam.,Closed,2024-02-03,2024-02-04,Race Condition,3,Transaction History,Navya Dhaliwal,Tiya Bir
D0070,Critical,P1,API throws 400 for valid request payload due to schema mismatch.,Ipsa aspernatur voluptatibus deleniti vitae tenetur quisquam.,Closed,2024-07-25,2024-07-27,Null Pointer,1,Account Ledger,Navya Dhaliwal,Indranil Sanghvi
D0071,Critical,P1,Concurrency issue during interest computation.,Facere occaecati molestiae.,Closed,2024-08-12,2024-08-13,Race Condition,1,Transaction History,Krish Solanki,Samarth Sanghvi
D0072,Critical,P1,Array index out of bounds in bill payment validation flow.,Consectetur minus saepe necessitatibus repellat doloribus.,Open,2025-04-22,,Null Pointer,2,Transaction History,Gokul Kala,Vivaan Kumer
D0073,Medium,P3,NullPointerException when calling balance check endpoint.,Ducimus accusamus rem quasi enim.,Closed,2023-10-29,2023-10-30,Race Condition,2,Account Ledger,Mannat Sharma,Gokul Manne
D0074,Medium,P2,API throws 400 for valid request payload due to schema mismatch.,Ipsa accusantium enim aliquid qui.,Closed,2023-08-26,2023-08-27,Null Pointer,0,Loan Processing,Kimaya Sunder,Tiya Grover
D0075,Low,P2,NullPointerException when calling balance check endpoint.,Modi sed dicta dignissimos laboriosam.,Closed,2024-11-10,2024-11-12,Memory Leak,0,Loan Processing,Nirvaan Lad,Nirvaan Bhalla
D0076,Critical,P4,Memory leak in session handling of UPI requests.,Explicabo quam minus ullam eaque.,Closed,2024-12-28,2024-12-30,API Timeout,2,Authentication Gateway,Urvi Dasgupta,Ayesha Ram
D0077,Low,P1,NullPointerException when calling balance check endpoint.,Ipsam voluptates deserunt mollitia laudantium debitis aspernatur.,Closed,2024-02-25,2024-02-26,Race Condition,2,UPI Service,Gokul Kala,Vidur Sura
D0078,High,P2,Array index out of bounds in bill payment validation flow.,Consequatur perferendis maiores et.,Closed,2023-10-28,2023-10-29,API Timeout,3,Authentication Gateway,Emir Ramesh,Ayesha Ram
D0079,Medium,P2,API throws 400 for valid request payload due to schema mismatch.,Laborum commodi repellat assumenda.,Open,2023-11-30,2023-12-12,Bad Request Handling,0,Account Ledger,Yasmin Chhabra,Vidur Sura
D0080,Critical,P3,Concurrency issue during interest computation.,Dolor odit earum culpa.,Closed,2025-01-26,2025-01-27,Memory Leak,1,Authentication Gateway,Aaryahi Som,Heer Dass
D0081,Low,P4,Concurrency issue during interest computation.,Maiores omnis explicabo voluptatum quo.,Closed,2023-11-09,2023-11-11,Memory Leak,1,Bill Payments,Krish Solanki,Nirvaan Bhalla
D0082,Critical,P2,Incorrect balance calculation after mini-statement fetch.,Magnam aspernatur libero sed asperiores.,Closed,2024-06-22,2024-06-24,Null Pointer,3,UPI Service,Elakshi Shukla,Shayak Hegde
D0083,High,P4,Timeout during KYC check API call.,Accusamus cum praesentium sapiente tempora dolorem.,Closed,2024-06-16,2024-06-17,Null Pointer,1,Authentication Gateway,Dishani Rajagopalan,Nayantara Bassi
D0084,Low,P1,Memory leak in session handling of UPI requests.,Sapiente veniam odit impedit facere deserunt.,Closed,2023-06-18,2023-06-20,Bad Request Handling,1,Transaction History,Kimaya Sunder,Tiya Bir
D0085,Low,P4,API throws 400 for valid request payload due to schema mismatch.,Explicabo facere deleniti magni et exercitationem numquam.,In Progress,2025-05-13,2025-07-01,Incorrect Business Logic,2,Bill Payments,Nehmat Ram,Heer Bhat
D0086,Critical,P2,Array index out of bounds in bill payment validation flow.,Temporibus dolor debitis enim rerum.,Closed,2023-06-19,2023-06-21,Incorrect Business Logic,2,Account Ledger,Divyansh Dubey,Dharmajan Yogi
D0087,Critical,P1,Incorrect balance calculation after mini-statement fetch.,Ullam rerum facilis quae porro consequatur eum.,Open,2023-11-07,2023-11-17,API Timeout,2,UPI Service,Kimaya Sunder,Anya Dixit
D0088,Low,P4,Amount field not formatted correctly in transaction history export.,Ullam modi architecto dignissimos magni distinctio.,Closed,2024-05-31,2024-06-02,Incorrect Business Logic,3,Loan Processing,Kaira Sharma,Elakshi Kaur
D0089,Medium,P4,Array index out of bounds in bill payment validation flow.,Ducimus accusantium rerum animi quas consequuntur blanditiis.,Closed,2023-06-16,2023-06-18,API Timeout,2,Loan Processing,Nehmat Ram,Vivaan Kumer
D0090,Critical,P2,Array index out of bounds in bill payment validation flow.,Veritatis aspernatur illo debitis error reprehenderit nulla.,Closed,2023-11-02,2023-11-04,Memory Leak,1,UPI Service,Hrishita Dar,Kashvi Verma
D0091,Low,P1,Incorrect balance calculation after mini-statement fetch.,Maxime dicta ab dolor.,Closed,2024-04-27,2024-04-28,Incorrect Business Logic,3,Account Ledger,Ivan Kakar,Nayantara Bassi
D0092,Low,P1,Date parsing issue causes crash in EMI module.,Perferendis deserunt veritatis autem maiores consequatur mollitia.,Closed,2025-01-16,2025-01-17,Race Condition,0,Bill Payments,Hazel Kalla,Ritvik Raju
D0093,Low,P4,NullPointerException when calling balance check endpoint.,Rerum alias modi.,Closed,2023-09-09,2023-09-11,Bad Request Handling,2,Bill Payments,Zain Tak,Lavanya Hans
D0094,Low,P4,NullPointerException when calling balance check endpoint.,Itaque suscipit numquam earum qui nam blanditiis.,Closed,2023-10-07,2023-10-08,API Timeout,0,Loan Processing,Hridaan Guha,Elakshi Kaur
D0095,Medium,P2,API throws 400 for valid request payload due to schema mismatch.,Soluta corrupti necessitatibus excepturi.,Closed,2023-08-15,2023-08-17,Race Condition,3,Bill Payments,Hazel Kalla,Vivaan Kumer
D0096,Low,P4,Concurrency issue during interest computation.,Ex reiciendis magni vel aliquid occaecati praesentium.,In Progress,2023-10-09,2023-10-17,Memory Leak,0,Account Ledger,Hrishita Dar,Vidur Sura
D0097,Critical,P3,Timeout during KYC check API call.,Necessitatibus placeat veritatis.,In Progress,2023-08-18,2023-09-23,Null Pointer,0,UPI Service,Aniruddh Bhatnagar,Indranil Sanghvi
D0098,Critical,P1,Incorrect balance calculation after mini-statement fetch.,Minus earum dicta voluptatem ad dolor voluptatum.,Closed,2024-09-08,2024-09-09,API Timeout,2,Loan Processing,Dishani Rajagopalan,Bhamini Kakar
D0099,Medium,P3,Amount field not formatted correctly in transaction history export.,Nemo eveniet voluptatibus fuga ducimus.,Closed,2024-02-06,2024-02-07,Incorrect Business Logic,3,Bill Payments,Nirvaan Lad,Heer Bhat
D0100,Low,P4,Memory leak in session handling of UPI requests.,Veritatis sunt architecto rem architecto accusantium.,In Progress,2024-11-27,2024-12-14,Incorrect Business Logic,0,Bill Payments,Hazel Kalla,Bhamini Kakar
D0101,Critical,P4,Array index out of bounds in bill payment validation flow.,Incidunt consectetur rem nisi.,Closed,2024-04-13,2024-04-15,Incorrect Business Logic,0,UPI Service,Hridaan Guha,Heer Dass
D0102,Critical,P4,Incorrect balance calculation after mini-statement fetch.,Illum laudantium velit voluptatem fugit.,Closed,2024-02-27,2024-02-28,API Timeout,0,Loan Processing,Nirvaan Lad,Ritvik Raju
D0103,Medium,P4,Array index out of bounds in bill payment validation flow.,Quibusdam fugiat modi quidem molestiae quaerat.,Closed,2024-04-25,2024-04-26,Race Condition,0,Transaction History,Navya Dhaliwal,Vivaan Kumer
D0104,Low,P4,Timeout during KYC check API call.,Voluptas ullam alias fugiat nihil voluptatum.,Closed,2025-02-19,2025-02-20,Null Pointer,2,Authentication Gateway,Divyansh Singhal,Tushar Subramaniam
D0105,Low,P3,NullPointerException when calling balance check endpoint.,Reprehenderit magnam optio perferendis quaerat maxime necessitatibus.,Closed,2024-03-15,2024-03-16,Memory Leak,3,Bill Payments,Aniruddh Bhatnagar,Lakshit Walla
D0106,Medium,P2,Incorrect balance calculation after mini-statement fetch.,Id ratione neque voluptate ex sequi voluptatibus impedit.,Closed,2025-04-04,2025-04-05,Race Condition,3,Account Ledger,Divyansh Dubey,Vivaan Kumer
D0107,Low,P3,NullPointerException when calling balance check endpoint.,Aperiam illum esse ut temporibus.,Closed,2025-02-08,2025-02-09,Memory Leak,3,Bill Payments,Hazel Kalla,Indranil Sanghvi
D0108,Critical,P3,API throws 400 for valid request payload due to schema mismatch.,Vel numquam itaque voluptatem numquam.,Closed,2024-12-20,2024-12-21,Bad Request Handling,1,Authentication Gateway,Divit Upadhyay,Indranil Sanghvi
D0109,Medium,P1,Amount field not formatted correctly in transaction history export.,Fuga debitis esse deserunt quod.,Closed,2025-02-10,2025-02-11,Memory Leak,1,Loan Processing,Aaina Goel,Elakshi Kaur
D0110,High,P1,Amount field not formatted correctly in transaction history export.,At non optio necessitatibus facilis consequuntur.,In Progress,2023-09-19,2023-09-21,Race Condition,2,Bill Payments,Navya Dhaliwal,Lakshit Walla
D0111,Low,P1,Amount field not formatted correctly in transaction history export.,Assumenda officiis dolorem adipisci nostrum.,Closed,2025-04-25,2025-04-27,Bad Request Handling,2,Loan Processing,Aaina Goel,Bhamini Kakar
D0112,Critical,P2,NullPointerException when calling balance check endpoint.,Blanditiis exercitationem possimus quod praesentium vel.,Closed,2025-02-25,2025-02-26,Incorrect Business Logic,2,UPI Service,Hrishita Dar,Bhamini Kakar
D0113,High,P4,NullPointerException when calling balance check endpoint.,Neque officia ex ipsa.,Closed,2023-07-08,2023-07-10,Incorrect Business Logic,0,UPI Service,Nehmat Ram,Ivan Gandhi
D0114,Critical,P1,NullPointerException when calling balance check endpoint.,Voluptatem consequatur necessitatibus recusandae necessitatibus.,Closed,2023-10-16,2023-10-17,Incorrect Business Logic,0,Authentication Gateway,Tarini Mann,Alisha Batra
D0115,Medium,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Commodi illo inventore quos distinctio cumque enim.,Closed,2023-07-16,2023-07-17,Null Pointer,3,Transaction History,Emir Ramesh,Elakshi Kaur
D0116,Medium,P3,NullPointerException when calling balance check endpoint.,Ex accusantium aliquam optio aspernatur.,Closed,2025-05-19,2025-05-20,API Timeout,3,Account Ledger,Gokul Kala,Vidur Sura
D0117,Medium,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Autem ex iusto quis quia in quae.,Open,2025-02-20,2025-03-14,API Timeout,3,Account Ledger,Elakshi Shukla,Alisha Batra
D0118,Critical,P4,Amount field not formatted correctly in transaction history export.,Numquam cumque accusantium omnis voluptatem in praesentium.,Closed,2024-07-17,2024-07-19,Null Pointer,1,Bill Payments,Hridaan Guha,Alisha Batra
D0119,Critical,P1,Amount field not formatted correctly in transaction history export.,Iste dolores optio impedit odit.,Closed,2024-04-24,2024-04-25,Null Pointer,2,Authentication Gateway,Emir Ramesh,Nirvaan Bhalla
D0120,High,P4,Concurrency issue during interest computation.,Ab laudantium ea blanditiis quos harum.,Closed,2025-05-22,2025-05-23,Race Condition,1,Bill Payments,Elakshi Luthra,Tiya Bir
D0121,Low,P3,NullPointerException when calling balance check endpoint.,Soluta explicabo dolores.,Closed,2025-04-04,2025-04-06,Memory Leak,2,UPI Service,Dishani Rajagopalan,Kartik Barman
D0122,Medium,P1,Amount field not formatted correctly in transaction history export.,Aliquam facilis fugiat ab deserunt animi.,Closed,2025-04-24,2025-04-26,Incorrect Business Logic,0,Bill Payments,Zain Tak,Vivaan Kumer
D0123,Low,P3,Amount field not formatted correctly in transaction history export.,Fugit dolorum commodi provident.,Closed,2024-10-27,2024-10-28,Null Pointer,2,Loan Processing,Nirvaan Lad,Alisha Batra
D0124,High,P4,Date parsing issue causes crash in EMI module.,Facere occaecati ut ipsum consectetur eos.,Closed,2023-07-18,2023-07-19,Incorrect Business Logic,0,Account Ledger,Tarini Dass,Anya Dixit
D0125,High,P4,Incorrect balance calculation after mini-statement fetch.,Fugiat eveniet earum consequuntur blanditiis quas labore.,Open,2023-11-08,2023-12-21,Race Condition,0,Transaction History,Nirvaan Lad,Vidur Sura
D0126,Critical,P2,Timeout during KYC check API call.,Incidunt culpa exercitationem atque facere molestiae.,Closed,2025-05-02,2025-05-04,Null Pointer,1,Bill Payments,Lagan Rattan,Bhamini Kakar
D0127,Low,P2,Date parsing issue causes crash in EMI module.,Enim in quaerat ducimus totam.,Closed,2024-04-27,2024-04-29,Bad Request Handling,2,Authentication Gateway,Lagan Rattan,Gokul Manne
D0128,High,P3,Timeout during KYC check API call.,Reprehenderit reiciendis eum pariatur delectus.,Open,2024-06-19,2024-07-06,API Timeout,1,Bill Payments,Tarini Dass,Manjari Tailor
D0129,Medium,P2,Amount field not formatted correctly in transaction history export.,Eius fuga nostrum asperiores praesentium autem assumenda natus.,Closed,2023-10-08,2023-10-09,Race Condition,0,Transaction History,Tarini Mann,Jayant Choudhury
D0130,Critical,P3,Concurrency issue during interest computation.,Ratione asperiores illo doloribus placeat.,Closed,2025-02-18,2025-02-20,API Timeout,0,Account Ledger,Elakshi Luthra,Farhan Mahajan
D0131,Critical,P4,NullPointerException when calling balance check endpoint.,Qui iusto iure voluptatibus maiores ipsum possimus molestias.,Closed,2023-08-05,2023-08-06,Incorrect Business Logic,1,UPI Service,Tarini Mann,Samarth Sanghvi
D0132,Low,P1,Incorrect balance calculation after mini-statement fetch.,Sapiente debitis distinctio quasi cupiditate voluptates expedita quis.,Closed,2024-08-26,2024-08-27,API Timeout,0,Transaction History,Nehmat Ram,Samarth Sanghvi
D0133,Medium,P3,Timeout during KYC check API call.,Sequi placeat vel harum ex.,Closed,2025-02-13,2025-02-14,Bad Request Handling,2,Authentication Gateway,Mannat Sharma,Heer Bhat
D0134,Medium,P4,Array index out of bounds in bill payment validation flow.,Similique nobis ea aliquid modi unde similique.,Closed,2024-02-18,2024-02-20,API Timeout,0,Authentication Gateway,Farhan Ganguly,Dharmajan Yogi
D0135,Critical,P2,Timeout during KYC check API call.,Autem veniam vero mollitia ratione aliquid.,Open,2024-12-30,2025-01-16,Bad Request Handling,0,Account Ledger,Dishani Rajagopalan,Tiya Grover
